"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"103","4","3",206.485,70.764,0.787,"20180206","non-invader","20180206-4-3-non-invader",2.93899999999999,0.992999999999995,"2"
"104","4","3",205.155,70.794,0.338,"20180206","non-invader","20180206-4-3-non-invader",1.33000000000001,0.0300000000000011,"2"
"105","4","3",203.259,72.133,0.589,"20180206","non-invader","20180206-4-3-non-invader",1.89600000000002,1.339,"2"
"106","4","3",201.698,74.246,0.667,"20180206","non-invader","20180206-4-3-non-invader",1.56099999999998,2.113,"2"
"107","4","3",195.863,74.881,1.49,"20180206","non-invader","20180206-4-3-non-invader",5.83500000000001,0.635000000000005,"2"
"108","4","3",184.734,76.319,2.848,"20180206","non-invader","20180206-4-3-non-invader",11.129,1.438,"2"
"109","4","3",180.225,86.232,2.764,"20180206","non-invader","20180206-4-3-non-invader",4.50900000000001,9.913,"2"
"110","4","3",184.547,94.77,2.429,"20180206","non-invader","20180206-4-3-non-invader",4.322,8.538,"2"
"111","4","3",193.12,92.164,2.274,"20180206","non-invader","20180206-4-3-non-invader",8.57300000000001,2.60599999999999,"2"
"112","4","3",191.113,87.938,1.187,"20180206","non-invader","20180206-4-3-non-invader",2.00700000000001,4.226,"2"
"113","4","3",190.189,86.085,0.526,"20180206","non-invader","20180206-4-3-non-invader",0.924000000000007,1.85300000000001,"2"
"114","4","3",189.616,80.331,1.467,"20180206","non-invader","20180206-4-3-non-invader",0.572999999999979,5.75399999999999,"2"
"115","4","3",191.659,87.427,1.874,"20180206","non-invader","20180206-4-3-non-invader",2.04299999999998,7.096,"2"
"116","4","3",188.321,86.373,0.889,"20180206","non-invader","20180206-4-3-non-invader",3.33799999999999,1.054,"2"
"117","4","3",190.811,82.529,1.163,"20180206","non-invader","20180206-4-3-non-invader",2.49000000000001,3.84400000000001,"2"
"118","4","3",197.553,82.4,1.711,"20180206","non-invader","20180206-4-3-non-invader",6.74199999999999,0.128999999999991,"2"
"119","4","3",200.324,87.651,1.507,"20180206","non-invader","20180206-4-3-non-invader",2.77100000000002,5.25099999999999,"2"
"120","4","3",195.728,95.61,2.333,"20180206","non-invader","20180206-4-3-non-invader",4.596,7.959,"2"
"121","4","3",185.239,96.451,2.671,"20180206","non-invader","20180206-4-3-non-invader",10.489,0.840999999999994,"2"
"122","4","3",181.524,99.33,1.193,"20180206","non-invader","20180206-4-3-non-invader",3.715,2.879,"2"
"123","4","3",177.584,106.806,2.145,"20180206","non-invader","20180206-4-3-non-invader",3.94,7.476,"2"
