"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"152","1","2",129.968,170.864,0.798,"20180206","invader","20180206-1-2-invader",3.145,0.085000000000008,"1"
"153","1","2",131.426,170.816,0.37,"20180206","invader","20180206-1-2-invader",1.458,0.0480000000000018,"1"
"154","1","2",130.546,171.77,0.329,"20180206","invader","20180206-1-2-invader",0.879999999999995,0.954000000000008,"1"
"155","1","2",130.507,171.332,0.112,"20180206","invader","20180206-1-2-invader",0.0389999999999873,0.438000000000017,"1"
"158","1","2",131.131,170.649,0.14,"20180206","invader","20180206-1-2-invader",0.450999999999993,0.317000000000007,"1"
"160","2","1",152.959,189.929,1.079,"20180206","invader","20180206-2-1-invader",3.19200000000001,2.80699999999999,"2"
"161","2","1",159.892,194.53,2.112,"20180206","invader","20180206-2-1-invader",6.93299999999999,4.601,"2"
"162","2","1",158.538,201.232,1.735,"20180206","invader","20180206-2-1-invader",1.35399999999998,6.702,"2"
"163","2","1",151.691,205.593,2.06,"20180206","invader","20180206-2-1-invader",6.84700000000001,4.36099999999999,"2"
"164","2","1",146.315,207.701,1.466,"20180206","invader","20180206-2-1-invader",5.376,2.108,"2"
"165","2","1",144.297,206.155,0.645,"20180206","invader","20180206-2-1-invader",2.018,1.54599999999999,"2"
"166","2","1",141.781,203.273,0.971,"20180206","invader","20180206-2-1-invader",2.51599999999999,2.88200000000001,"2"
"167","2","1",140.106,198.523,1.279,"20180206","invader","20180206-2-1-invader",1.67500000000001,4.75,"2"
"168","2","1",143.032,198.7,0.744,"20180206","invader","20180206-2-1-invader",2.92600000000002,0.176999999999992,"2"
"169","2","1",144.045,203.498,1.244,"20180206","invader","20180206-2-1-invader",1.01299999999998,4.798,"2"
"170","2","1",136.387,204.355,1.956,"20180206","invader","20180206-2-1-invader",7.65799999999999,0.856999999999999,"2"
"171","2","1",123.257,201.336,3.419,"20180206","invader","20180206-2-1-invader",13.13,3.01899999999998,"2"
"172","2","1",113.633,196.364,2.749,"20180206","invader","20180206-2-1-invader",9.62400000000001,4.97200000000001,"2"
"173","2","1",110.851,190.098,1.74,"20180206","invader","20180206-2-1-invader",2.782,6.26599999999999,"2"
"174","2","1",122.758,180.829,3.83,"20180206","invader","20180206-2-1-invader",11.907,9.26900000000001,"2"
"175","2","1",125.258,180.878,0.635,"20180206","invader","20180206-2-1-invader",2.5,0.0489999999999782,"2"
"176","2","1",126.19,182.135,0.397,"20180206","invader","20180206-2-1-invader",0.932000000000002,1.25700000000001,"2"
"177","2","1",125.46,184.396,0.603,"20180206","invader","20180206-2-1-invader",0.730000000000004,2.261,"2"
"178","2","1",121.433,186.542,1.158,"20180206","invader","20180206-2-1-invader",4.02699999999999,2.14600000000002,"2"
"179","2","1",116.54,183.324,1.486,"20180206","invader","20180206-2-1-invader",4.893,3.21799999999999,"2"
"180","2","1",120.977,176.608,2.043,"20180206","invader","20180206-2-1-invader",4.437,6.71600000000001,"2"
"181","2","1",123.888,179.222,0.993,"20180206","invader","20180206-2-1-invader",2.911,2.614,"2"
"182","2","1",121.999,185.837,1.746,"20180206","invader","20180206-2-1-invader",1.88900000000001,6.61499999999998,"2"
"183","2","1",120.321,188.246,0.745,"20180206","invader","20180206-2-1-invader",1.678,2.40900000000002,"2"
"184","2","1",116.898,189.312,0.91,"20180206","invader","20180206-2-1-invader",3.423,1.066,"2"
"185","2","1",109.761,186.943,1.908,"20180206","invader","20180206-2-1-invader",7.137,2.369,"2"
"186","2","1",106.409,182.513,1.41,"20180206","invader","20180206-2-1-invader",3.35199999999999,4.43000000000001,"1"
"187","2","1",105.44,180.665,0.53,"20180206","invader","20180206-2-1-invader",0.969000000000008,1.84800000000001,"1"
"188","2","1",105.891,179.204,0.388,"20180206","invader","20180206-2-1-invader",0.451000000000008,1.46099999999998,"1"
"189","2","1",106.58,178.304,0.288,"20180206","invader","20180206-2-1-invader",0.688999999999993,0.900000000000006,"1"
"190","2","1",109.069,177.773,0.646,"20180206","invader","20180206-2-1-invader",2.489,0.531000000000006,"1"
"191","2","1",109.602,177.176,0.203,"20180206","invader","20180206-2-1-invader",0.533000000000001,0.597000000000008,"1"
"192","2","1",105.989,179.291,1.063,"20180206","invader","20180206-2-1-invader",3.613,2.11500000000001,"1"
"193","2","1",105.584,181.54,0.58,"20180206","invader","20180206-2-1-invader",0.405000000000001,2.249,"1"
"194","2","1",105.576,184.296,0.7,"20180206","invader","20180206-2-1-invader",0.00800000000000978,2.756,"1"
"195","2","1",104.493,186.426,0.607,"20180206","invader","20180206-2-1-invader",1.083,2.13,"1"
"196","2","1",102.176,182.975,1.055,"20180206","invader","20180206-2-1-invader",2.31699999999999,3.45099999999999,"1"
"197","2","1",100.24,181.697,0.589,"20180206","invader","20180206-2-1-invader",1.93600000000001,1.27799999999999,"1"
"201","2","1",100.096,181.767,0.104,"20180206","invader","20180206-2-1-invader",0.222999999999999,0.343999999999994,"1"
"202","2","1",99.561,181.418,0.162,"20180206","invader","20180206-2-1-invader",0.534999999999997,0.34899999999999,"2"
"203","2","1",97.111,179.487,0.792,"20180206","invader","20180206-2-1-invader",2.45,1.93100000000001,"2"
"204","2","1",91.986,179.742,1.302,"20180206","invader","20180206-2-1-invader",5.125,0.254999999999995,"2"
"205","2","1",82.352,186.444,2.979,"20180206","invader","20180206-2-1-invader",9.634,6.702,"2"
"206","2","1",79.587,191.086,1.371,"20180206","invader","20180206-2-1-invader",2.765,4.64200000000002,"2"
"207","2","1",78.528,197.744,1.711,"20180206","invader","20180206-2-1-invader",1.059,6.65799999999999,"2"
"208","2","1",79.668,206.244,2.177,"20180206","invader","20180206-2-1-invader",1.14,8.5,"2"
"209","2","1",79.381,209.725,0.886,"20180206","invader","20180206-2-1-invader",0.287000000000006,3.48099999999999,"2"
"210","2","1",75.926,205.523,1.381,"20180206","invader","20180206-2-1-invader",3.455,4.202,"2"
"211","2","1",76.305,198.07,1.894,"20180206","invader","20180206-2-1-invader",0.379000000000005,7.453,"2"
"212","2","1",76.647,186.39,2.966,"20180206","invader","20180206-2-1-invader",0.341999999999999,11.68,"2"
"213","2","1",76.443,172.177,3.608,"20180206","invader","20180206-2-1-invader",0.204000000000008,14.213,"2"
"214","2","1",74.3,167.178,1.38,"20180206","invader","20180206-2-1-invader",2.143,4.999,"2"
"215","2","1",68.924,171.334,1.725,"20180206","invader","20180206-2-1-invader",5.37599999999999,4.15600000000001,"1"
"216","2","1",68.913,171.946,0.155,"20180206","invader","20180206-2-1-invader",0.0110000000000099,0.611999999999995,"1"
"217","2","1",68.897,172.711,0.194,"20180206","invader","20180206-2-1-invader",0.0159999999999911,0.765000000000015,"1"
"218","2","1",69.192,173.69,0.26,"20180206","invader","20180206-2-1-invader",0.294999999999987,0.978999999999985,"1"
"219","2","1",70.553,175.153,0.507,"20180206","invader","20180206-2-1-invader",1.361,1.46299999999999,"1"
"220","2","1",71.785,175.872,0.362,"20180206","invader","20180206-2-1-invader",1.232,0.719000000000023,"1"
"221","2","1",72.509,176.121,0.194,"20180206","invader","20180206-2-1-invader",0.724000000000004,0.248999999999995,"1"
"223","2","1",74.189,175.983,0.457,"20180206","invader","20180206-2-1-invader",1.80199999999999,0.0120000000000005,"1"
"224","2","1",74.587,175.786,0.113,"20180206","invader","20180206-2-1-invader",0.39800000000001,0.197000000000003,"1"
"225","2","1",73.823,175.536,0.204,"20180206","invader","20180206-2-1-invader",0.76400000000001,0.25,"1"
"226","2","1",75.21,175.011,0.376,"20180206","invader","20180206-2-1-invader",1.387,0.525000000000006,"1"
"228","2","1",75.262,174.093,0.167,"20180206","invader","20180206-2-1-invader",0.0799999999999983,0.65300000000002,"1"
"234","2","1",75.45,173.494,0.147,"20180206","invader","20180206-2-1-invader",0.301000000000002,0.494,"1"
"236","2","1",74.464,173.825,0.276,"20180206","invader","20180206-2-1-invader",1.036,0.324999999999989,"1"
"237","2","1",73.235,174.005,0.315,"20180206","invader","20180206-2-1-invader",1.229,0.180000000000007,"1"
"238","2","1",71.489,175.389,0.565,"20180206","invader","20180206-2-1-invader",1.746,1.38400000000001,"1"
"239","2","1",71.393,175.872,0.125,"20180206","invader","20180206-2-1-invader",0.0960000000000036,0.483000000000004,"1"
"241","2","1",70.898,177.192,0.319,"20180206","invader","20180206-2-1-invader",0.222000000000008,1.23600000000002,"1"
"242","2","1",70.493,177.463,0.124,"20180206","invader","20180206-2-1-invader",0.405000000000001,0.270999999999987,"1"
"243","2","1",70.371,178.176,0.184,"20180206","invader","20180206-2-1-invader",0.122,0.712999999999994,"1"
"245","2","1",70.375,178.566,0.101,"20180206","invader","20180206-2-1-invader",0.0139999999999958,0.399000000000001,"1"
"248","2","1",69.772,179.134,0.206,"20180206","invader","20180206-2-1-invader",0.369,0.72399999999999,"1"
"249","2","1",70.443,179.243,0.173,"20180206","invader","20180206-2-1-invader",0.670999999999992,0.109000000000009,"1"
"252","2","1",70.649,180.191,0.256,"20180206","invader","20180206-2-1-invader",0.310000000000002,0.960000000000008,"1"
"253","2","1",71.108,180.07,0.12,"20180206","invader","20180206-2-1-invader",0.459000000000003,0.121000000000009,"1"
"254","2","1",73.011,180.446,0.493,"20180206","invader","20180206-2-1-invader",1.90299999999999,0.376000000000005,"1"
"255","2","1",74.418,178.813,0.547,"20180206","invader","20180206-2-1-invader",1.40700000000001,1.63300000000001,"1"
"256","2","1",76.56,174.978,1.115,"20180206","invader","20180206-2-1-invader",2.142,3.83499999999998,"1"
"257","2","1",76.676,174.269,0.182,"20180206","invader","20180206-2-1-invader",0.116,0.709000000000003,"1"
"262","2","1",75.012,174.485,0.219,"20180206","invader","20180206-2-1-invader",0.849000000000004,0.15900000000002,"2"
"263","2","1",69.973,178.154,1.582,"20180206","invader","20180206-2-1-invader",5.039,3.66899999999998,"2"
"264","2","1",71.222,184.011,1.52,"20180206","invader","20180206-2-1-invader",1.249,5.857,"1"
"265","2","1",71.962,184.587,0.238,"20180206","invader","20180206-2-1-invader",0.740000000000009,0.575999999999993,"1"
"266","2","1",72.711,184.466,0.193,"20180206","invader","20180206-2-1-invader",0.748999999999995,0.120999999999981,"1"
"267","2","1",74.065,184.14,0.353,"20180206","invader","20180206-2-1-invader",1.354,0.326000000000022,"1"
"268","2","1",76.175,183.56,0.555,"20180206","invader","20180206-2-1-invader",2.11,0.579999999999984,"1"
"269","2","1",77.771,183.073,0.424,"20180206","invader","20180206-2-1-invader",1.596,0.486999999999995,"1"
"272","2","1",76.462,183.299,0.469,"20180206","invader","20180206-2-1-invader",1.71599999999999,0.689999999999998,"1"
"273","2","1",75.661,183.872,0.25,"20180206","invader","20180206-2-1-invader",0.801000000000002,0.573000000000008,"1"
"274","2","1",74.507,184.361,0.318,"20180206","invader","20180206-2-1-invader",1.154,0.488999999999976,"1"
"275","2","1",75.104,184.409,0.152,"20180206","invader","20180206-2-1-invader",0.596999999999994,0.0480000000000018,"1"
"276","2","1",73.996,185.262,0.355,"20180206","invader","20180206-2-1-invader",1.108,0.853000000000009,"1"
"277","2","1",73.496,185.52,0.143,"20180206","invader","20180206-2-1-invader",0.5,0.25800000000001,"1"
"279","2","1",72.817,185.956,0.165,"20180206","invader","20180206-2-1-invader",0.603000000000009,0.24799999999999,"1"
"282","2","1",71.748,187.067,0.302,"20180206","invader","20180206-2-1-invader",0.802999999999997,0.879999999999995,"1"
"297","2","1",71.664,189.038,0.151,"20180206","invader","20180206-2-1-invader",0.0739999999999981,0.592000000000013,"1"
"299","2","1",71.942,189.643,0.117,"20180206","invader","20180206-2-1-invader",0.228999999999999,0.397999999999996,"1"
"301","2","1",72.191,190.137,0.124,"20180206","invader","20180206-2-1-invader",0.180000000000007,0.454000000000008,"1"
"302","2","1",72.888,190.857,0.254,"20180206","invader","20180206-2-1-invader",0.697000000000003,0.719999999999999,"1"
"303","2","1",73.192,191.343,0.146,"20180206","invader","20180206-2-1-invader",0.303999999999988,0.48599999999999,"1"
"304","2","1",73.872,192.177,0.273,"20180206","invader","20180206-2-1-invader",0.680000000000007,0.834000000000003,"1"
"305","2","1",75.38,193.199,0.462,"20180206","invader","20180206-2-1-invader",1.508,1.02200000000002,"1"
"306","2","1",78.029,193.735,0.686,"20180206","invader","20180206-2-1-invader",2.649,0.536000000000001,"1"
"307","2","1",81.769,193.684,0.949,"20180206","invader","20180206-2-1-invader",3.74000000000001,0.0510000000000161,"1"
"308","2","1",82.623,193.563,0.219,"20180206","invader","20180206-2-1-invader",0.853999999999999,0.121000000000009,"1"
"311","2","1",81.678,194.394,0.381,"20180206","invader","20180206-2-1-invader",1.21300000000001,0.882000000000005,"2"
"312","2","1",75.405,194.871,1.597,"20180206","invader","20180206-2-1-invader",6.273,0.477000000000004,"2"
"314","2","2",150.707,39.222,1.817,"20180206","invader","20180206-2-2-invader",0.617000000000019,7.134,"2"
"315","2","2",141.588,43.941,2.606,"20180206","invader","20180206-2-2-invader",9.119,4.719,"2"
"316","2","2",131.372,49.845,2.995,"20180206","invader","20180206-2-2-invader",10.216,5.904,"2"
"317","2","2",120.742,57.787,3.368,"20180206","invader","20180206-2-2-invader",10.63,7.942,"2"
"318","2","2",110.871,64.477,3.027,"20180206","invader","20180206-2-2-invader",9.87100000000001,6.69,"2"
"319","2","2",98.924,71.121,3.47,"20180206","invader","20180206-2-2-invader",11.947,6.64399999999999,"2"
"320","2","2",93.443,75.937,1.852,"20180206","invader","20180206-2-2-invader",5.48100000000001,4.816,"2"
"321","2","2",92.037,79.24,0.911,"20180206","invader","20180206-2-2-invader",1.40599999999999,3.303,"2"
"322","2","2",91.979,83.022,0.96,"20180206","invader","20180206-2-2-invader",0.0580000000000069,3.78200000000001,"2"
"323","2","2",92.247,85.947,0.746,"20180206","invader","20180206-2-2-invader",0.268000000000001,2.925,"2"
"324","2","2",92.696,87.362,0.377,"20180206","invader","20180206-2-2-invader",0.448999999999998,1.41499999999999,"2"
"325","2","2",94.411,92.953,1.484,"20180206","invader","20180206-2-2-invader",1.715,5.59100000000001,"2"
"326","2","2",95.503,96.658,0.98,"20180206","invader","20180206-2-2-invader",1.092,3.705,"2"
"327","2","2",92.221,102.115,1.616,"20180206","invader","20180206-2-2-invader",3.282,5.45699999999999,"2"
"328","2","2",88.372,101.846,0.979,"20180206","invader","20180206-2-2-invader",3.849,0.268999999999991,"2"
"329","2","2",86.353,104.541,0.855,"20180206","invader","20180206-2-2-invader",2.01900000000001,2.69499999999999,"2"
"330","2","2",85.945,109.481,1.258,"20180206","invader","20180206-2-2-invader",0.408000000000001,4.94,"2"
"331","2","2",85.887,114.847,1.362,"20180206","invader","20180206-2-2-invader",0.0579999999999927,5.366,"2"
"332","2","2",85.461,122.277,1.889,"20180206","invader","20180206-2-2-invader",0.426000000000002,7.43000000000001,"2"
"333","2","2",82.437,131.03,2.351,"20180206","invader","20180206-2-2-invader",3.024,8.753,"2"
"334","2","2",80.037,138.894,2.087,"20180206","invader","20180206-2-2-invader",2.39999999999999,7.864,"2"
"335","2","2",75.326,152.738,3.711,"20180206","invader","20180206-2-2-invader",4.71100000000001,13.844,"2"
"336","2","2",72.421,166.795,3.643,"20180206","invader","20180206-2-2-invader",2.90499999999999,14.057,"2"
"337","2","2",66.83,175.423,2.61,"20180206","invader","20180206-2-2-invader",5.59100000000001,8.62800000000001,"2"
"338","2","2",60.89,178.877,1.744,"20180206","invader","20180206-2-2-invader",5.94,3.45400000000001,"2"
"339","2","2",59.21,175.714,0.909,"20180206","invader","20180206-2-2-invader",1.68,3.16300000000001,"2"
"340","2","2",58.918,173.378,0.598,"20180206","invader","20180206-2-2-invader",0.292000000000002,2.33600000000001,"2"
"341","2","2",60.75,166.675,1.764,"20180206","invader","20180206-2-2-invader",1.832,6.70299999999997,"2"
"342","2","2",62.958,164.649,0.761,"20180206","invader","20180206-2-2-invader",2.208,2.02600000000001,"2"
"343","2","2",64.437,165.594,0.446,"20180206","invader","20180206-2-2-invader",1.479,0.944999999999993,"2"
"344","2","2",64.253,170.369,1.213,"20180206","invader","20180206-2-2-invader",0.183999999999997,4.77500000000001,"2"
"345","2","2",61.922,176.892,1.758,"20180206","invader","20180206-2-2-invader",2.331,6.523,"2"
"346","2","2",63.899,181.779,1.338,"20180206","invader","20180206-2-2-invader",1.977,4.887,"1"
"347","2","2",66.054,183.328,0.674,"20180206","invader","20180206-2-2-invader",2.155,1.54900000000001,"1"
"348","2","2",66.937,183.472,0.227,"20180206","invader","20180206-2-2-invader",0.882999999999996,0.144000000000005,"1"
"349","2","2",67.727,183.64,0.205,"20180206","invader","20180206-2-2-invader",0.790000000000006,0.167999999999978,"1"
"350","2","2",67.835,184.345,0.181,"20180206","invader","20180206-2-2-invader",0.10799999999999,0.705000000000013,"1"
"351","2","2",68.508,184.375,0.171,"20180206","invader","20180206-2-2-invader",0.673000000000002,0.0300000000000011,"1"
"352","2","2",69.945,183.996,0.377,"20180206","invader","20180206-2-2-invader",1.437,0.378999999999991,"1"
"353","2","2",70.52,183.622,0.174,"20180206","invader","20180206-2-2-invader",0.575000000000003,0.373999999999995,"1"
"354","2","2",71.42,182.835,0.303,"20180206","invader","20180206-2-2-invader",0.900000000000006,0.787000000000006,"1"
"355","2","2",73.858,180.331,0.887,"20180206","invader","20180206-2-2-invader",2.438,2.50400000000002,"1"
